['consistently', 0.9965724848907095]
['fascinated', 0.9964448698638211]
['laudable', 0.9927221916883723]
['damn', 0.9926131788591376]
['canace', 0.9924114589657629]
['sported', 0.9917130952135361]
['whimpers', 0.9913861682104924]
['arter', 0.990719036311434]
['incongruities', 0.9906460515951807]
['cathedral', 0.9904839089223605]
['jerusalem', 0.9904386546022289]
['broods', 0.9897676682040892]
['chymera', 0.989076226794464]
['_ad', 0.9889732360637103]
['eut', 0.9888944380022289]
['systematic', 0.9886155936101904]
['clair', 0.988255021094899]
['purchases', 0.9881938075408738]
['scouted', 0.9879605481828662]
['hampered', 0.9879309561428913]
['packers', 0.9878838677088745]
['field', 0.9876705526725353]
['tribune', 0.98708387204562]
['creak', 0.986090003666147]
['churchly', 0.9849218690284617]
['cord', 0.9844766002697007]
['petition_', 0.983908253240442]
['withstood', 0.9836179217097791]
['impersonal', 0.9832624851099212]
['caesars', 0.9831846578197576]
['usance', 0.9830500327719556]
['blackmail', 0.9829931126646528]
['amnii', 0.981700903173669]
['bottles', 0.9812273931091091]
['coiffe', 0.9810157029136718]
['accidents', 0.9805164780247312]
['nigger', 0.980212614631995]
['sociable', 0.979875463816154]
['aegis', 0.97984569252609]
['unanswered', 0.9797667749941434]
['des', 0.9795815503788421]
['hosts', 0.979334213426066]
['fag', 0.9786451760671058]
['heresy', 0.9785623895100006]
['foamlike', 0.9785142573078619]
['lethargy', 0.9784735482666873]
['streamlets', 0.9783247495923934]
['dozens', 0.9781889725095743]
['hailed', 0.9781532656539706]
['topics', 0.9781203637893862]
['crests', 0.9780057366901236]
['exactly', 0.9777623481694302]
['italy', 0.9773236056494577]
['unfrequent', 0.9770382282891354]
['trouble', 0.9770218001274397]
['baptize', 0.9768005046688523]
['bill', 0.976437081740159]
['unconsciously', 0.976398920864728]
['bowels', 0.9759550609338615]
['prelate', 0.975898709165097]
['practice', 0.9757942887176022]
['lazily', 0.9757874087343825]
['advance', 0.975439225679842]
['dramatic', 0.9750664318168824]
['dimly', 0.9749180624575623]
['creator', 0.974817644505279]
['topper', 0.974300597038123]
['taxes', 0.9741447329208367]
['intestine', 0.9741447329208367]
['gesticulations', 0.9741447329208367]
['sacrificial', 0.9740061579097178]
['above', 0.973828623493147]
['customers', 0.9737959805632609]
['gestures', 0.9737910086206659]
['dodging', 0.9737279227083371]
['pennsylvania', 0.973627419650979]
['scoffer', 0.9734573843508695]
['hazelike', 0.9732790500939574]
['chamberlains', 0.9727758230481609]
['rabats', 0.9726372500048518]
['ruts', 0.9723484535967433]
['finger', 0.9722353777785294]
['tomahawks', 0.972221057399625]
['1323', 0.971880602413924]
['incapacitated', 0.9716832987918478]
['spends', 0.971507366261625]
['cadaverous', 0.9712535971428415]
['scrap', 0.9711699773308292]
['regained', 0.9709967643468334]
['flaring', 0.9707820063986459]
['huts', 0.9706463858854517]
['raillery', 0.9705219281472774]
['assemble', 0.9705163546255007]
['wow', 0.970488215349933]
['snout', 0.9701909823745484]
['tamen', 0.9701648286634765]
['kindly', 0.9701424531961027]
['evils', 0.9701302416423014]
['beatrice', 0.9700655128895178]
['trenches', 0.9699749796165623]
['totally', 0.9699653998746397]
['apothecary', 0.9698199391265625]
['pagan', 0.9697212339327079]
